device_id,licence_number,registration_id,radcom_access_id,radcom_registration_id,freq_centre,bandwidth,freq_lower,freq_upper,occupied_bw,service_type,service_subtype,licence_subtype,height,latitude,longitude,site_id,site_name,state,client,industry,emission_designator,tx_rx,power_watts,eirp_watts,simplex_duplex,azimuth,antenna_gain,antenna_manufacturer,antenna_model,multi_antenna,antenna_size,antenna_tilt,antenna_type,date_authorised,date_issued,date_effective,date_expires,licence_status
332246673,9867483,10089489,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,30,-33.828795,148.697476,9018773,NBN Co Site Scenic Drive COWRA,NSW,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,110,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,23/8/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332247291,9867483,10004212,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,65,-30.233399,153.128287,9018132,NBN Co Site Rover Trail SAPPHIRE BEACH,NSW,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,20,19.6,ALPHA WIRELESS,AW3497, ,0.8,0,Panel (1 sector)-R,17/5/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332247609,9867483,10089455,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40.5,-38.115524,147.069841,130188,Dyers Transport Premises 11 Stephenson Street SALE,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,270,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,23/8/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332249177,9867483,10076464,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,30,-20.089388,146.252707,150286,Monopole  Broadcast Australia Site off Blackjack Rd TOWERS HILL,QLD,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,70,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,21/7/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332249350,9867483,10310139,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,56,-37.814061,140.824954,9019058,NBN Co Site 337 Bishop Road WORROLONG,SA ,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,25,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,16/10/2017,9/12/2015,14/12/2015,13/12/2030,Granted
332249615,9867483,9971972,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,56,-37.814061,140.824954,9019058,NBN Co Site 337 Bishop Road WORROLONG,SA ,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,70,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,30/3/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332249836,9867483,10064873,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-34.74948,135.825714,9022904,NBN Co Site Lot 2 Kathai Drive PORT LINCOLN,SA ,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,0,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,27/6/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332249940,9867483,10305187,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-34.298541,146.061496,9019251,NBN Co Site 2132 Oakes Road YOOGALI,NSW,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,180,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,3/10/2017,9/12/2015,14/12/2015,13/12/2030,Granted
332249982,9867483,10104516,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,30,-38.317198,142.377837,51181,Broadcast/Comm Site Spencer Rd TOWER HILL,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,0,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,21/9/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332250361,9867483,10005239,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,44,-36.31304,145.04586,11895,Telstra Exchange 12 Bradley Street KYABRAM,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,10,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,18/5/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332250509,9867483,10111317,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,7.4,-25.632384,151.611468,16440,QAS/OPTUS Site Duke Mtn Maud St GAYNDAH,QLD,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,0,19.6,ALPHA WIRELESS,AW3497, ,0.8,0,Panel (1 sector)-R,4/10/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332250609,9867483,10310127,,,3560000000,19900000,3550050000,3569950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,56,-37.814061,140.824954,9019058,NBN Co Site 337 Bishop Road WORROLONG,SA ,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,12709.25,X,270,19.6,ALPHA WIRELESS,AW3497, ,0.8,0,Panel (1 sector)-R,16/10/2017,9/12/2015,14/12/2015,13/12/2030,Granted
332250709,9867483,9994011,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-36.090591,145.443025,37915,Telstra Radio Terminal NUMURKAH,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,T,160,8592.509,X,340,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,19/4/2016,9/12/2015,14/12/2015,13/12/2030,Granted
332251263,9867483,10310094,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,45.2,-28.933695,153.422578,198325,Optus/Northern Comms Site Meerschaum Station BUCKOMBIL MOUNTAIN,NSW,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,115,19.6,ALPHA WIRELESS,AW3497, ,0.8,0,Panel (1 sector)-R,16/10/2017,9/12/2015,14/12/2015,13/12/2030,Granted
332251333,9867483,10327253,,,3455000000,19900000,3445050000,3464950000,19900000,Spectrum,Device Registration (Spectrum Licences),3.4 GHz Band,40,-34.284077,142.144824,9023045,NBN Co Site 397 Dairtnunk Avenue CARDROSS,VIC,NBN Co Spectrum Pty Ltd,Communications Services,19M9W7DEW,R,,,X,180,17.5,ARGUS,SSPX310R, ,0.75,0,Panel (1 sector)-R,6/11/2017,9/12/2015,14/12/2015,13/12/2030,Granted
