,Total Power into Antenna (W),Percentage (%)
0.7977168205377296,75,20.66
0.050332528673366884,32,8.82
0.3175767863272075,35,9.64
0.5033252867336687,88,24.24
0.6336489938676012,46,12.67
0.12642959583819713,32,8.82
0.07977168205377297,1,0.28
0.012642959583819726,12,3.31
0.25226020807270105,1,0.28
0.004186477385849297,14,3.86
0.3190867282150925,27,7.44
