,Deployment Height (M),Percentage (%)
"(-0.001, 25.0]",76,20.9366391184573
"(25.0, 50.0]",209,57.57575757575758
"(50.0, 75.0]",22,6.0606060606060606
"(75.0, 100.0]",26,7.162534435261708
"(100.0, 125.0]",11,3.0303030303030303
"(125.0, 150.0]",6,1.6528925619834711
"(150.0, 175.0]",13,3.581267217630854
"(175.0, 1000.0]",0,0.0
