,Total Power into Antenna (dBm/MHz),Percentage (%)
"(-0.001, 2.5]",2,0.37174721189591076
"(2.5, 5.0]",67,12.453531598513012
"(5.0, 7.5]",70,13.011152416356877
"(7.5, 10.0]",1,0.18587360594795538
"(10.0, 12.5]",325,60.4089219330855
"(12.5, 15.0]",4,0.7434944237918215
