,EIRP (dBm),Percentage (%)
69.041202134762,1729,53.2
69.34119995699957,637,19.6
71.1412037474349,569,17.507692307692306
71.04119922664789,251,7.723076923076923
69.34144811792477,59,1.8153846153846152
66.33089545145282,3,0.0923076923076923
71.04111379698969,2,0.06153846153846154
