,EIRP (dBm/MHz),Percentage (%)
56.03090217812219,1729,53.2
56.35266919290251,637,19.6
58.13090379079509,569,17.507692307692306
58.05266846255083,251,7.723076923076923
56.352917353827706,59,1.8153846153846152
53.342364687355754,3,0.0923076923076923
58.05258303289263,2,0.06153846153846154
