,Total Power into Antenna (W),Percentage (%)
142.60022589102135,1728,53.17
152.79881835274148,637,19.6
142.60027884300942,569,17.51
139.35415514332783,251,7.72
152.80754970464466,59,1.82
76.39932915379724,3,0.09
139.3514139478375,2,0.06
87.9265865487221,1,0.03
